row_number	paiddeposit	scholarship_yes_no	Type_of_scholarship_offered	Female	Race	HS_rank	HS_class_size	HS_Quintile	HS_CODE	HS_NAME	SAT_math	SAT_verbal	ACT	Honors_college_eligible	distancefromPitt	state	Number_of_family_alumni	father_alumni	grand_alumni	mother_alumni	sibling_alumni	step_parent_alumni	other_family_alumni	SAT_composite	ACT_as_SAT	Max_Test_Score	Training	from_PA
701	1	0		0.00	white	228.0	480	3/5	390488	CENTRAL_BUCKS_HIGH_SCHO	570.0	610.0		no	256.4030779426410000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1180		1180	0.00	1.00
705	1	0		0.00	white	59.0	212	2/5	210038	BALTIMORE_POLYTECHNIC_I	610.0	540.0		no	192.9228820014760000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	0.00
707	0	1	U4	0.00	black				211002	SUITLAND_HIGH_SCHOOL	540.0	540.0	24.0	no	196.5926306134990000	MD	2	1.00	0.00	1.00	0.00	0.00	0.00	1080	1110	1110	0.00	0.00
708	0	1	HT	0.00	white				210560	GAITHERSBURG_HIGH_SCHOO	770.0	710.0		yes	170.9736160725610000	MD	2	1.00	0.00	0.00	0.00	0.00	1.00	1480		1480	0.00	0.00
713	0	1	U4	1.00	white				470103	BISHOP_DENIS_J_OCONNELL	660.0	640.0		yes	172.4331587628730000	VA	0	0.00	0.00	0.00	0.00	0.00	0.00	1300		1300	0.00	0.00
717	0	0		1.00	white	29.0	87	2/5	394502	KENNEDY_CHRISTIAN_HIGH	540.0	540.0		no	45.5774360284888000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1080		1080	0.00	1.00
718	0	0		0.00	white	42.0	123	2/5	395445	YORK_CATHOLIC_HIGH_SCHO	560.0	510.0		no	176.3040126014430000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1070		1070	0.00	1.00
719	0	0		1.00	white	31.0	385	1/10	393430	PHILADELPHIA_HIGH_SCHOO	450.0	520.0		no	259.5898040780780000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	970		970	0.00	1.00
720	0	0		0.00	white	102.0	483	2/5	390740	COATESVILLE_AREA_SR_HIG	580.0	470.0	19.0	no	220.3886802136310000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1050	910	1050	0.00	1.00
722	0	1	U2	1.00	white	10.0	296	1/10	390530	CANON_MCMILLAN_HIGH_SCH	650.0	610.0	28.0	yes	15.9022359836104000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1260	1260	1260	0.00	1.00
724	0	0		0.00	Hispanic				210839	WINSTON_CHURCHILL_HIGH	560.0	550.0		no	176.1391106770530000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	0.00
726	0	0		0.00	white	215.0	419	3/5	310223	CHERRY_HILL_HIGH_SCHOOL	570.0	600.0		no	266.2849411181400000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1170		1170	0.00	0.00
728	0	0		0.00	white	108.0	290	2/5	390065	WISSAHICKON_HIGH_SCHOOL	610.0	540.0		no	247.3633143781140000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	1.00
729	1	0		0.00	white	14.0	105	1/5	394525	SHARPSVILLE_AREA_SENIOR	620.0	520.0		no	62.9553093554338000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
731	0	0		0.00	white	31.0	93	2/5	394325	ELK_COUNTY_CHRISTIAN_HI	570.0	560.0		no	93.6164271552900000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1130		1130	0.00	1.00
735	0	0		1.00	white	55.0	200	2/5	391512	PINE_RICHLAND_HIGH_SCHO	530.0	480.0	23.0	no	18.2695991245968000	PA	2	0.00	1.00	0.00	0.00	0.00	1.00	1010	1070	1070	0.00	1.00
740	0	0		0.00	white	43.0	237	1/5	393765	PERRY_TRADITIONAL_ACADE	630.0	640.0		no	3.5457302594017400	PA	1	1.00	0.00	0.00	0.00	0.00	0.00	1270		1270	0.00	1.00
742	0	1	U2	1.00	white	22.0	240	1/10	394145	EXETER_TOWNSHIP_SR_HIGH	640.0	620.0		yes	215.4355511310870000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1260		1260	0.00	1.00
744	0	0		1.00	white	25.0	198	1/5	392910	NEW_CASTLE_SENIOR_HIGH	540.0	490.0		no	42.7077985555192000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1030		1030	0.00	1.00
745	0	0		0.00	white	116.0	371	2/5	393280	CHELTENHAM_TOWNSHIP_HIG	490.0	530.0		no	257.3593074012880000	PA	1	0.00	0.00	0.00	1.00	0.00	0.00	1020		1020	0.00	1.00
